address,trash_day,lat,lng
"1209 8th Ave, Brooklyn, NY, USA",WED,40.6634878,-73.9807302
"1209 8th Ave, Brooklyn, NY, USA",SAT,40.6634878,-73.9807302
"121 15th St, Brooklyn, NY, USA",MON,40.6674166,-73.9926215
"121 15th St, Brooklyn, NY, USA",THU,40.6674166,-73.9926215
"121 7th Ave, Brooklyn, NY, USA",WED,40.673338,-73.975892
"121 7th Ave, Brooklyn, NY, USA",SAT,40.673338,-73.975892
"121 8th Ave, Brooklyn, NY, USA",WED,40.6720243,-73.9736136
"121 8th Ave, Brooklyn, NY, USA",SAT,40.6720243,-73.9736136
"1211 8th Ave, Brooklyn, NY, USA",WED,40.6634105,-73.9807302
"1211 8th Ave, Brooklyn, NY, USA",SAT,40.6634105,-73.9807302
"1212 8th Ave, Brooklyn, NY, USA",WED,40.6637704,-73.98115489999999
"1212 8th Ave, Brooklyn, NY, USA",SAT,40.6637704,-73.98115489999999
"1213 8th Ave, Brooklyn, NY, USA",WED,40.66339139999999,-73.980868
"1213 8th Ave, Brooklyn, NY, USA",SAT,40.66339139999999,-73.980868
"121A 7th Ave, Brooklyn, NY, USA",WED,40.673338,-73.975892
"121A 7th Ave, Brooklyn, NY, USA",SAT,40.673338,-73.975892
"122 12th St, Brooklyn, NY, USA",MON,40.6699554,-73.99364560000001
"122 12th St, Brooklyn, NY, USA",THU,40.6699554,-73.99364560000001
"123 8th Ave, Brooklyn, NY, USA",WED,40.671934,-73.97366099999999
"123 8th Ave, Brooklyn, NY, USA",SAT,40.671934,-73.97366099999999
"123A 7th Ave, Brooklyn, NY, USA",WED,40.6733154,-73.97594550000001
"123A 7th Ave, Brooklyn, NY, USA",SAT,40.6733154,-73.97594550000001
"124 7th Ave, Brooklyn, NY, USA",WED,40.6735616,-73.97637639999999
"124 7th Ave, Brooklyn, NY, USA",SAT,40.6735616,-73.97637639999999
"125 7th Ave, Brooklyn, NY, USA",WED,40.6731996,-73.9760112
"125 7th Ave, Brooklyn, NY, USA",SAT,40.6731996,-73.9760112
"125 8th Ave, Brooklyn, NY, USA",WED,40.6718941,-73.9737168
"125 8th Ave, Brooklyn, NY, USA",SAT,40.6718941,-73.9737168
"126 10th St, Brooklyn, NY, USA",MON,40.6715826,-73.9935168
"126 10th St, Brooklyn, NY, USA",THU,40.6715826,-73.9935168
"126 13th St, Brooklyn, NY, USA",MON,40.6692793,-73.993847
"126 13th St, Brooklyn, NY, USA",THU,40.6692793,-73.993847
"126 14th St, Brooklyn, NY, USA",MON,40.668455,-73.9935385
"126 14th St, Brooklyn, NY, USA",THU,40.668455,-73.9935385
"126 7th Ave, Brooklyn, NY, USA",WED,40.6735619,-73.976637
"126 7th Ave, Brooklyn, NY, USA",SAT,40.6735619,-73.976637
"127 12th St, Brooklyn, NY, USA",MON,40.670252,-73.99326429999999
"127 12th St, Brooklyn, NY, USA",THU,40.670252,-73.99326429999999
"127 14th St, Brooklyn, NY, USA",MON,40.6684364,-73.9934998
"127 14th St, Brooklyn, NY, USA",THU,40.6684364,-73.9934998
"127 7th Ave, Brooklyn, NY, USA",WED,40.6729852,-73.9761618
"127 7th Ave, Brooklyn, NY, USA",SAT,40.6729852,-73.9761618
"127 9th St, Brooklyn, NY, USA",MON,40.672594,-73.9933922
"127 9th St, Brooklyn, NY, USA",THU,40.672594,-73.9933922
"128 15th St, Brooklyn, NY, USA",MON,40.6669448,-73.99266870000001
"128 15th St, Brooklyn, NY, USA",THU,40.6669448,-73.99266870000001
"128 7th Ave, Brooklyn, NY, USA",WED,40.6733358,-73.9765353
"128 7th Ave, Brooklyn, NY, USA",SAT,40.6733358,-73.9765353
"128 9th St, Brooklyn, NY, USA",MON,40.6723764,-73.99334569999999
"128 9th St, Brooklyn, NY, USA",THU,40.6723764,-73.99334569999999
"129 11th St, Brooklyn, NY, USA",MON,40.671012,-73.99317239999999
"129 11th St, Brooklyn, NY, USA",THU,40.671012,-73.99317239999999
"130 17th St, Brooklyn, NY, USA",MON,40.665816,-73.995221
"130 17th St, Brooklyn, NY, USA",THU,40.665816,-73.995221
"130 8th Ave, Brooklyn, NY, USA",WED,40.67215729999999,-73.9741415
"130 8th Ave, Brooklyn, NY, USA",SAT,40.67215729999999,-73.9741415
"130 9th St, Brooklyn, NY, USA",MON,40.6723778,-73.99326429999999
"130 9th St, Brooklyn, NY, USA",THU,40.6723778,-73.99326429999999
"1301 8th Ave, Brooklyn, NY, USA",WED,40.6630214,-73.9811205
"1301 8th Ave, Brooklyn, NY, USA",SAT,40.6630214,-73.9811205
"1302 8th Ave, Brooklyn, NY, USA",WED,40.6633521,-73.9814763
"1302 8th Ave, Brooklyn, NY, USA",SAT,40.6633521,-73.9814763
"131 7th Ave, Brooklyn, NY, USA",WED,40.6729257,-73.9762191
"131 7th Ave, Brooklyn, NY, USA",SAT,40.6729257,-73.9762191
"131 8th Ave, Brooklyn, NY, USA",WED,40.6716926,-73.9738927
"131 8th Ave, Brooklyn, NY, USA",SAT,40.6716926,-73.9738927
"132 15th St, Brooklyn, NY, USA",MON,40.666849,-73.992497
"132 15th St, Brooklyn, NY, USA",THU,40.666849,-73.992497
"132 17th St, Brooklyn, NY, USA",MON,40.66577300000001,-73.99515099999999
"132 17th St, Brooklyn, NY, USA",THU,40.66577300000001,-73.99515099999999
"132A 16th St, Brooklyn, NY, USA",MON,40.665504,-73.99149299999999
"132A 16th St, Brooklyn, NY, USA",THU,40.665504,-73.99149299999999
"132A 9th St, Brooklyn, NY, USA",MON,40.6722792,-73.9931285
"132A 9th St, Brooklyn, NY, USA",THU,40.6722792,-73.9931285
"133 17th St, Brooklyn, NY, USA",MON,40.66615729999999,-73.994917
"133 17th St, Brooklyn, NY, USA",THU,40.66615729999999,-73.994917
"133 7th Ave, Brooklyn, NY, USA",WED,40.6728742,-73.97626509999999
"133 7th Ave, Brooklyn, NY, USA",SAT,40.6728742,-73.97626509999999
"133 8th Ave, Brooklyn, NY, USA",WED,40.6714616,-73.9741415
"133 8th Ave, Brooklyn, NY, USA",SAT,40.6714616,-73.9741415
"1335 7th Ave, Brooklyn, NY, USA",WED,40.6123979,-73.9812353
"1335 7th Ave, Brooklyn, NY, USA",SAT,40.6123979,-73.9812353
"134 17th St, Brooklyn, NY, USA",MON,40.6657903,-73.99505479999999
"134 17th St, Brooklyn, NY, USA",THU,40.6657903,-73.99505479999999
"135 15th St, Brooklyn, NY, USA",MON,40.667216,-73.9922
"135 15th St, Brooklyn, NY, USA",THU,40.667216,-73.9922
"135 7th Ave, Brooklyn, NY, USA",WED,40.6728388,-73.976288
"135 7th Ave, Brooklyn, NY, USA",SAT,40.6728388,-73.976288
"137 14th St, Brooklyn, NY, USA",MON,40.6683464,-73.99297729999999
"137 14th St, Brooklyn, NY, USA",THU,40.6683464,-73.99297729999999
"137 7th Ave, Brooklyn, NY, USA",WED,40.6728067,-73.9763339
"137 7th Ave, Brooklyn, NY, USA",SAT,40.6728067,-73.9763339
"138 17th St, Brooklyn, NY, USA",MON,40.6656887,-73.9949515
"138 17th St, Brooklyn, NY, USA",THU,40.6656887,-73.9949515
"138 7th Ave, Brooklyn, NY, USA",WED,40.6729444,-73.9768275
"138 7th Ave, Brooklyn, NY, USA",SAT,40.6729444,-73.9768275
"139 11th St, Brooklyn, NY, USA",MON,40.6708601,-73.9927822
"139 11th St, Brooklyn, NY, USA",THU,40.6708601,-73.9927822
"139 7th Ave, Brooklyn, NY, USA",WED,40.6727552,-73.9763798
"139 7th Ave, Brooklyn, NY, USA",SAT,40.6727552,-73.9763798
"140 17th St, Brooklyn, NY, USA",MON,40.6655419,-73.9949146
"140 17th St, Brooklyn, NY, USA",THU,40.6655419,-73.9949146
"140 8th Ave, Brooklyn, NY, USA",WED,40.6718872,-73.974417
"140 8th Ave, Brooklyn, NY, USA",SAT,40.6718872,-73.974417
"1401 8th Ave, Brooklyn, NY, USA",WED,40.662738,-73.981733
"1401 8th Ave, Brooklyn, NY, USA",SAT,40.662738,-73.981733
"1402 8th Ave, Brooklyn, NY, USA",WED,40.662906,-73.98294100000001
"1402 8th Ave, Brooklyn, NY, USA",SAT,40.662906,-73.98294100000001
"1405 8th Ave, Brooklyn, NY, USA",WED,40.6624811,-73.9816714
"1405 8th Ave, Brooklyn, NY, USA",SAT,40.6624811,-73.9816714
"141 7th Ave, Brooklyn, NY, USA",WED,40.6727199,-73.9764028
"141 7th Ave, Brooklyn, NY, USA",SAT,40.6727199,-73.9764028
"1419 8th Ave, Brooklyn, NY, USA",WED,40.6622205,-73.98187810000002
"1419 8th Ave, Brooklyn, NY, USA",SAT,40.6622205,-73.98187810000002
"142 7th Ave, Brooklyn, NY, USA",WED,40.6728302,-73.9769079
"142 7th Ave, Brooklyn, NY, USA",SAT,40.6728302,-73.9769079
"143 13th St, Brooklyn, NY, USA",MON,40.6692542,-73.9932361
"143 13th St, Brooklyn, NY, USA",THU,40.6692542,-73.9932361
"143 16th St, Brooklyn, NY, USA",MON,40.665983,-73.99139799999999
"143 16th St, Brooklyn, NY, USA",THU,40.665983,-73.99139799999999
"143 9th St, Brooklyn, NY, USA",MON,40.672359,-73.99251819999999
"143 9th St, Brooklyn, NY, USA",THU,40.672359,-73.99251819999999
"144 17th St, Brooklyn, NY, USA",MON,40.6655187,-73.9947875
"144 17th St, Brooklyn, NY, USA",THU,40.6655187,-73.9947875
"144 7th Ave, Brooklyn, NY, USA",WED,40.67277869999999,-73.9769537
"144 7th Ave, Brooklyn, NY, USA",SAT,40.67277869999999,-73.9769537
"145 11th St, Brooklyn, NY, USA",MON,40.6707692,-73.99272409999999
"145 11th St, Brooklyn, NY, USA",THU,40.6707692,-73.99272409999999
"145 17th St, Brooklyn, NY, USA",MON,40.665971,-73.994534
"145 17th St, Brooklyn, NY, USA",THU,40.665971,-73.994534
"145 6th St, Brooklyn, NY, USA",MON,40.6744142,-73.99125889999999
"145 6th St, Brooklyn, NY, USA",THU,40.6744142,-73.99125889999999
"145 7th Ave, Brooklyn, NY, USA",WED,40.672633,-73.97647169999999
"145 7th Ave, Brooklyn, NY, USA",SAT,40.672633,-73.97647169999999
"145 9th St, Brooklyn, NY, USA",MON,40.6723299,-73.99244929999999
"145 9th St, Brooklyn, NY, USA",THU,40.6723299,-73.99244929999999
"146 13th St, Brooklyn, NY, USA",MON,40.6690399,-73.9930047
"146 13th St, Brooklyn, NY, USA",THU,40.6690399,-73.9930047
