address,trash_day
"128 7th Ave, Brooklyn, NY, USA",WED
"128 7th Ave, Brooklyn, NY, USA",SAT
"128 9th St, Brooklyn, NY, USA",MON
"128 9th St, Brooklyn, NY, USA",THU
"129 11th St, Brooklyn, NY, USA",MON
"129 11th St, Brooklyn, NY, USA",THU
"130 17th St, Brooklyn, NY, USA",MON
"130 17th St, Brooklyn, NY, USA",THU
"130 8th Ave, Brooklyn, NY, USA",WED
"130 8th Ave, Brooklyn, NY, USA",SAT
"130 9th St, Brooklyn, NY, USA",MON
"130 9th St, Brooklyn, NY, USA",THU
"1301 8th Ave, Brooklyn, NY, USA",WED
"1301 8th Ave, Brooklyn, NY, USA",SAT
"1302 8th Ave, Brooklyn, NY, USA",WED
"1302 8th Ave, Brooklyn, NY, USA",SAT
"131 7th Ave, Brooklyn, NY, USA",WED
"131 7th Ave, Brooklyn, NY, USA",SAT
"131 8th Ave, Brooklyn, NY, USA",WED
"131 8th Ave, Brooklyn, NY, USA",SAT
"132 15th St, Brooklyn, NY, USA",MON
"132 15th St, Brooklyn, NY, USA",THU
"132 17th St, Brooklyn, NY, USA",MON
"132 17th St, Brooklyn, NY, USA",THU
"132A 16th St, Brooklyn, NY, USA",MON
"132A 16th St, Brooklyn, NY, USA",THU
"132A 9th St, Brooklyn, NY, USA",MON
"132A 9th St, Brooklyn, NY, USA",THU
"133 17th St, Brooklyn, NY, USA",MON
"133 17th St, Brooklyn, NY, USA",THU
"133 7th Ave, Brooklyn, NY, USA",WED
"133 7th Ave, Brooklyn, NY, USA",SAT
"133 8th Ave, Brooklyn, NY, USA",WED
"133 8th Ave, Brooklyn, NY, USA",SAT
"1335 7th Ave, Brooklyn, NY, USA",WED
"1335 7th Ave, Brooklyn, NY, USA",SAT
"134 17th St, Brooklyn, NY, USA",MON
"134 17th St, Brooklyn, NY, USA",THU
"135 15th St, Brooklyn, NY, USA",MON
"135 15th St, Brooklyn, NY, USA",THU
"135 7th Ave, Brooklyn, NY, USA",WED
"135 7th Ave, Brooklyn, NY, USA",SAT
"137 14th St, Brooklyn, NY, USA",MON
"137 14th St, Brooklyn, NY, USA",THU
"137 7th Ave, Brooklyn, NY, USA",WED
"137 7th Ave, Brooklyn, NY, USA",SAT
"138 17th St, Brooklyn, NY, USA",MON
"138 17th St, Brooklyn, NY, USA",THU
"138 7th Ave, Brooklyn, NY, USA",WED
"138 7th Ave, Brooklyn, NY, USA",SAT
"139 11th St, Brooklyn, NY, USA",MON
"139 11th St, Brooklyn, NY, USA",THU
"139 7th Ave, Brooklyn, NY, USA",WED
"139 7th Ave, Brooklyn, NY, USA",SAT
"140 17th St, Brooklyn, NY, USA",MON
"140 17th St, Brooklyn, NY, USA",THU
"140 8th Ave, Brooklyn, NY, USA",WED
"140 8th Ave, Brooklyn, NY, USA",SAT
"1401 8th Ave, Brooklyn, NY, USA",WED
"1401 8th Ave, Brooklyn, NY, USA",SAT
"1402 8th Ave, Brooklyn, NY, USA",WED
"1402 8th Ave, Brooklyn, NY, USA",SAT
"1405 8th Ave, Brooklyn, NY, USA",WED
"1405 8th Ave, Brooklyn, NY, USA",SAT
"141 7th Ave, Brooklyn, NY, USA",WED
"141 7th Ave, Brooklyn, NY, USA",SAT
"1419 8th Ave, Brooklyn, NY, USA",WED
"1419 8th Ave, Brooklyn, NY, USA",SAT
"142 7th Ave, Brooklyn, NY, USA",WED
"142 7th Ave, Brooklyn, NY, USA",SAT
"143 13th St, Brooklyn, NY, USA",MON
"143 13th St, Brooklyn, NY, USA",THU
"143 16th St, Brooklyn, NY, USA",MON
"143 16th St, Brooklyn, NY, USA",THU
"143 9th St, Brooklyn, NY, USA",MON
"143 9th St, Brooklyn, NY, USA",THU
"144 17th St, Brooklyn, NY, USA",MON
"144 17th St, Brooklyn, NY, USA",THU
"144 7th Ave, Brooklyn, NY, USA",WED
"144 7th Ave, Brooklyn, NY, USA",SAT
"145 11th St, Brooklyn, NY, USA",MON
"145 11th St, Brooklyn, NY, USA",THU
"145 17th St, Brooklyn, NY, USA",MON
"145 17th St, Brooklyn, NY, USA",THU
"145 6th St, Brooklyn, NY, USA",MON
"145 6th St, Brooklyn, NY, USA",THU
"145 7th Ave, Brooklyn, NY, USA",WED
"145 7th Ave, Brooklyn, NY, USA",SAT
"145 9th St, Brooklyn, NY, USA",MON
"145 9th St, Brooklyn, NY, USA",THU
"146 13th St, Brooklyn, NY, USA",MON
"146 13th St, Brooklyn, NY, USA",THU
"146 17th St, Brooklyn, NY, USA",MON
"146 17th St, Brooklyn, NY, USA",THU
"146 7th Ave, Brooklyn, NY, USA",WED
"146 7th Ave, Brooklyn, NY, USA",SAT
"147 13th St, Brooklyn, NY, USA",MON
"147 13th St, Brooklyn, NY, USA",THU
"147 9th St, Brooklyn, NY, USA",MON
"147 9th St, Brooklyn, NY, USA",THU
"148 17th St, Brooklyn, NY, USA",MON
"148 17th St, Brooklyn, NY, USA",THU
"148 7th Ave, Brooklyn, NY, USA",WED
"148 7th Ave, Brooklyn, NY, USA",SAT
"149 17th St, Brooklyn, NY, USA",MON
"149 17th St, Brooklyn, NY, USA",THU
"149 18th St, Brooklyn, NY, USA",MON
"149 18th St, Brooklyn, NY, USA",THU
"149 2nd Ave, Brooklyn, NY, USA",MON
"149 2nd Ave, Brooklyn, NY, USA",THU
"150 7th Ave, Brooklyn, NY, USA",WED
"150 7th Ave, Brooklyn, NY, USA",SAT
"1501 10th Ave, Brooklyn, NY, USA",MON
"1501 10th Ave, Brooklyn, NY, USA",THU
"1501 11th Ave, Brooklyn, NY, USA",TUE
"1501 11th Ave, Brooklyn, NY, USA",FRI
"1501 8th Ave, Brooklyn, NY, USA",WED
"1501 8th Ave, Brooklyn, NY, USA",SAT
"1502 10th Ave, Brooklyn, NY, USA",MON
"1502 10th Ave, Brooklyn, NY, USA",THU
"1504 8th Ave, Brooklyn, NY, USA",WED
"1504 8th Ave, Brooklyn, NY, USA",SAT
"151 11th St, Brooklyn, NY, USA",MON
"151 11th St, Brooklyn, NY, USA",THU
"151 7th Ave, Brooklyn, NY, USA",WED
"151 7th Ave, Brooklyn, NY, USA",SAT
"152 7th Ave, Brooklyn, NY, USA",WED
"152 7th Ave, Brooklyn, NY, USA",SAT
"152 8th Ave, Brooklyn, NY, USA",WED
"152 8th Ave, Brooklyn, NY, USA",SAT
"152 9th St, Brooklyn, NY, USA",MON
"152 9th St, Brooklyn, NY, USA",THU
"1521 10th Ave, Brooklyn, NY, USA",MON
"1521 10th Ave, Brooklyn, NY, USA",THU
"1521 11th Ave, Brooklyn, NY, USA",TUE
"1521 11th Ave, Brooklyn, NY, USA",FRI
"1522 10th Ave, Brooklyn, NY, USA",MON
